model,task,class,precision,recall,f1,support
CLIP,sleeve,long sleeve,0.8055555555555556,0.6352787314042831,0.7103555433689791,6117
CLIP,sleeve,short sleeve,0.3822130831512659,0.8560736902705814,0.5284762327854287,3474
CLIP,sleeve,sleeveless,0.8984311604003246,0.6382590315142198,0.7463206381305472,10408
CLIP,pattern,floral,0.6586365966171194,0.7554379776601999,0.7037239868565169,3402
CLIP,pattern,graphic,0.47196385862343876,0.5307830245068739,0.49964833309888873,3346
CLIP,pattern,striped,0.45251177394034536,0.8559762435040832,0.5920410783055199,1347
CLIP,pattern,solid,0.8924497555676263,0.6931027209449483,0.7802445684435474,9482
CLIP,material,denim,0.3791920731707317,0.8333333333333334,0.5212152959664746,1194
CLIP,material,chiffon,0.2987012987012987,0.741421143847487,0.4258411307983277,2885
CLIP,material,cotton,0.9019607843137255,0.21978829755954132,0.3534487853892074,13604
CLIP,material,leather,0.20140845070422536,0.7044334975369458,0.3132530120481928,406
CLIP,material,knit,0.25533925533925533,0.7845528455284553,0.3852844716954228,1722
BLIP,sleeve,long sleeve,0.7932524513877347,0.7802844531633154,0.7867150156584803,6117
BLIP,sleeve,short sleeve,0.48800773694390714,0.7262521588946459,0.5837575196668209,3474
BLIP,sleeve,sleeveless,0.8647452626801316,0.7321548659813623,0.7929455831859328,10409
BLIP,pattern,floral,0.8552173913043478,0.5781893004115226,0.6899333567169414,3402
BLIP,pattern,graphic,0.5669276659209546,0.9088463837417813,0.6982778415614237,3346
BLIP,pattern,striped,0.8019323671497585,0.7394209354120267,0.7694090382387022,1347
BLIP,pattern,solid,0.9479875446891939,0.8669057160936511,0.9056354321599736,9482
BLIP,material,denim,0.679140127388535,0.7144053601340034,0.6963265306122449,1194
BLIP,material,chiffon,0.24187694434842724,0.9701906412478336,0.38721726499273706,2885
BLIP,material,cotton,0.9527085124677558,0.24433990002940312,0.38893114140291346,13604
BLIP,material,leather,0.34839357429718876,0.854679802955665,0.4950071326676177,406
BLIP,material,knit,0.4679743795036029,0.6788617886178862,0.5540284360189573,1722
