task,model,prompt_family,subset,n,accuracy,macro_f1
pattern,CLIP,descriptive_single,overall,17577,0.6594413153552938,0.5255155700518787
pattern,CLIP,descriptive_single,catalog_like,6920,0.6543352601156069,0.5014568804398123
pattern,CLIP,descriptive_single,less_curated,10657,0.6627568734165338,0.5392999436186693
pattern,CLIP,studio_single,overall,17577,0.6520452864538886,0.5929477271267831
pattern,CLIP,studio_single,catalog_like,6920,0.6523121387283237,0.5849769083514265
pattern,CLIP,studio_single,less_curated,10657,0.6518720090081637,0.5953789897567827
pattern,CLIP,lifestyle_single,overall,17577,0.7420492689309893,0.6702971903005776
pattern,CLIP,lifestyle_single,catalog_like,6920,0.7541907514450867,0.6818466327883959
pattern,CLIP,lifestyle_single,less_curated,10657,0.7341653373369617,0.6613311937759365
pattern,CLIP,attribute_only_single,overall,17577,0.46464129259828185,0.3599278228502328
pattern,CLIP,attribute_only_single,catalog_like,6920,0.45939306358381504,0.3447741583723759
pattern,CLIP,attribute_only_single,less_curated,10657,0.46804916955991366,0.36746542807508004
pattern,CLIP,technical_single,overall,17577,0.5126585879274052,0.4988028153120905
pattern,CLIP,technical_single,catalog_like,6920,0.5348265895953758,0.5101832466820571
pattern,CLIP,technical_single,less_curated,10657,0.498264051796941,0.49051399937437745
